,precision,recall,f1-score,support
0,0.9976958525345622,0.9954022988505747,0.996547756041427,435.0
1,0.957983193277311,0.9743589743589743,0.9661016949152542,117.0
2,0.9814814814814815,0.9636363636363636,0.9724770642201834,55.0
3,0.9819494584837545,0.9963369963369964,0.9890909090909091,273.0
4,1.0,1.0,1.0,11.0
5,0.9794520547945206,0.9930555555555556,0.9862068965517242,144.0
6,1.0,1.0,1.0,27.0
7,0.9961240310077519,0.969811320754717,0.9827915869980879,265.0
8,0.9611650485436893,1.0,0.9801980198019802,99.0
9,1.0,0.94,0.9690721649484536,50.0
micro avg,0.986449864498645,0.986449864498645,0.986449864498645,1476.0
macro avg,0.9855851120123071,0.9832601509493181,0.984248609256802,1476.0
weighted avg,0.9866563123487918,0.986449864498645,0.9864410601373943,1476.0
samples avg,0.986449864498645,0.986449864498645,0.986449864498645,1476.0
