,precision,recall,f1-score,support
0,1.0,0.9855769230769231,0.9927360774818402,416.0
1,1.0,0.9692307692307692,0.9843749999999999,130.0
2,0.9629629629629629,0.896551724137931,0.9285714285714286,58.0
3,0.9779179810725552,0.9967845659163987,0.9872611464968154,311.0
4,1.0,1.0,1.0,6.0
5,0.9852941176470589,0.9925925925925926,0.988929889298893,135.0
6,1.0,0.9459459459459459,0.9722222222222222,37.0
7,0.9798387096774194,0.9959016393442623,0.9878048780487805,244.0
8,0.9587628865979382,0.9893617021276596,0.9738219895287958,94.0
9,0.9148936170212766,0.9555555555555556,0.9347826086956522,45.0
micro avg,0.983739837398374,0.983739837398374,0.983739837398374,1476.0
macro avg,0.9779670274979211,0.972750141792804,0.9750505240344427,1476.0
weighted avg,0.9839929668802326,0.983739837398374,0.9837052503919947,1476.0
samples avg,0.983739837398374,0.983739837398374,0.983739837398374,1476.0
