,precision,recall,f1-score,support
0,0.9884526558891455,1.0,0.9941927990708479,428.0
1,0.9806451612903225,0.987012987012987,0.9838187702265372,154.0
2,0.9666666666666667,0.9830508474576272,0.9747899159663865,59.0
3,0.9896193771626297,0.9794520547945206,0.9845094664371773,292.0
4,1.0,1.0,1.0,8.0
5,0.9857142857142858,0.965034965034965,0.9752650176678446,143.0
6,1.0,0.9230769230769231,0.9600000000000001,26.0
7,0.9769585253456221,0.9814814814814815,0.9792147806004619,216.0
8,0.9807692307692307,1.0,0.9902912621359222,102.0
9,1.0,0.9583333333333334,0.9787234042553191,48.0
micro avg,0.9850948509485095,0.9850948509485095,0.9850948509485095,1476.0
macro avg,0.9868825902837903,0.9777442592191837,0.9820805416360499,1476.0
weighted avg,0.9851611984379023,0.9850948509485095,0.9850499323422784,1476.0
samples avg,0.9850948509485095,0.9850948509485095,0.9850948509485095,1476.0
