,precision,recall,f1-score,support
0,0.9793577981651376,0.9976635514018691,0.988425925925926,428.0
1,0.9870967741935484,0.9935064935064936,0.9902912621359222,154.0
2,0.9827586206896551,0.9661016949152542,0.9743589743589743,59.0
3,0.9894736842105263,0.9657534246575342,0.9774696707105718,292.0
4,0.8888888888888888,1.0,0.9411764705882353,8.0
5,0.9784172661870504,0.951048951048951,0.9645390070921986,143.0
6,1.0,0.9615384615384616,0.9803921568627451,26.0
7,0.9769585253456221,0.9814814814814815,0.9792147806004619,216.0
8,0.9523809523809523,0.9803921568627451,0.966183574879227,102.0
9,0.9787234042553191,0.9583333333333334,0.968421052631579,48.0
micro avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
macro avg,0.97140559143167,0.9755819548746125,0.973047287578584,1476.0
weighted avg,0.9798485890570967,0.9796747967479674,0.9796432843027869,1476.0
samples avg,0.9796747967479674,0.9796747967479674,0.9796747967479674,1476.0
