,precision,recall,f1-score,support
0,1.0,0.997867803837953,0.9989327641408752,469.0
1,0.992,0.9763779527559056,0.9841269841269842,127.0
2,1.0,0.9649122807017544,0.9821428571428572,57.0
3,0.9853479853479854,0.9962962962962963,0.9907918968692448,270.0
4,1.0,1.0,1.0,8.0
5,0.9781021897810219,0.9781021897810219,0.9781021897810219,137.0
6,0.9583333333333334,1.0,0.9787234042553191,23.0
7,0.9956140350877193,0.978448275862069,0.9869565217391305,232.0
8,0.9519230769230769,1.0,0.9753694581280787,99.0
9,0.9814814814814815,0.9814814814814815,0.9814814814814815,54.0
micro avg,0.989159891598916,0.989159891598916,0.989159891598916,1476.0
macro avg,0.9842802101954617,0.9873486280716481,0.9856627557664993,1476.0
weighted avg,0.9893580375788334,0.989159891598916,0.9891772873130535,1476.0
samples avg,0.989159891598916,0.989159891598916,0.989159891598916,1476.0
