,precision,recall,f1-score,support
0,0.9973404255319149,0.9894459102902374,0.9933774834437087,379.0
1,0.9929577464788732,0.9724137931034482,0.9825783972125435,145.0
2,0.9253731343283582,0.9841269841269841,0.9538461538461538,63.0
3,0.9864864864864865,0.9864864864864865,0.9864864864864865,296.0
4,1.0,0.9,0.9473684210526316,10.0
5,0.9795918367346939,0.9863013698630136,0.9829351535836177,146.0
6,0.96875,1.0,0.9841269841269841,31.0
7,0.9831932773109243,0.9957446808510638,0.9894291754756871,235.0
8,0.9626168224299065,0.9363636363636364,0.9493087557603687,110.0
9,0.9672131147540983,0.9833333333333333,0.9752066115702478,60.0
micro avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
macro avg,0.9763522844055256,0.9734216194418203,0.974466362255843,1475.0
weighted avg,0.9832488933305675,0.9830508474576272,0.9830499055726136,1475.0
samples avg,0.9830508474576272,0.9830508474576272,0.9830508474576272,1475.0
