,precision,recall,f1-score,support
0,0.981651376146789,1.0,0.9907407407407407,428.0
1,0.9871794871794872,1.0,0.9935483870967742,154.0
2,1.0,0.9830508474576272,0.9914529914529915,59.0
3,0.9964788732394366,0.9691780821917808,0.9826388888888888,292.0
4,0.8888888888888888,1.0,0.9411764705882353,8.0
5,0.9859154929577465,0.9790209790209791,0.9824561403508772,143.0
6,1.0,0.9615384615384616,0.9803921568627451,26.0
7,1.0,0.9907407407407407,0.9953488372093023,216.0
8,0.9711538461538461,0.9901960784313726,0.9805825242718447,102.0
9,0.9791666666666666,0.9791666666666666,0.9791666666666666,48.0
micro avg,0.9878048780487805,0.9878048780487805,0.9878048780487805,1476.0
macro avg,0.979043463123286,0.9852891856047629,0.9817503804129066,1476.0
weighted avg,0.9880074389662219,0.9878048780487805,0.9878017431757943,1476.0
samples avg,0.9878048780487805,0.9878048780487805,0.9878048780487805,1476.0
