,precision,recall,f1-score,support
0,1.0,0.9393139841688655,0.9687074829931973,379.0
1,0.9854014598540146,0.9310344827586207,0.9574468085106382,145.0
2,0.9682539682539683,0.9682539682539683,0.9682539682539683,63.0
3,0.9201277955271565,0.972972972972973,0.9458128078817735,296.0
4,0.9090909090909091,1.0,0.9523809523809523,10.0
5,0.934640522875817,0.9794520547945206,0.9565217391304349,146.0
6,0.9032258064516129,0.9032258064516129,0.9032258064516129,31.0
7,0.9397590361445783,0.9957446808510638,0.9669421487603306,235.0
8,0.9537037037037037,0.9363636363636364,0.944954128440367,110.0
9,0.9814814814814815,0.8833333333333333,0.9298245614035088,60.0
micro avg,0.9566101694915254,0.9566101694915254,0.9566101694915254,1475.0
macro avg,0.9495684683383241,0.9509694919948594,0.9494070404206785,1475.0
weighted avg,0.9582570402548618,0.9566101694915254,0.9566592072065431,1475.0
samples avg,0.9566101694915254,0.9566101694915254,0.9566101694915254,1475.0
