,precision,recall,f1-score,support
0,1.0,0.9399038461538461,0.9690210656753407,416.0
1,0.9915966386554622,0.9076923076923077,0.9477911646586346,130.0
2,0.9661016949152542,0.9827586206896551,0.9743589743589743,58.0
3,0.9228486646884273,1.0,0.9598765432098766,311.0
4,1.0,1.0,1.0,6.0
5,0.9496402877697842,0.9777777777777777,0.9635036496350364,135.0
6,1.0,0.9459459459459459,0.9722222222222222,37.0
7,0.96,0.9836065573770492,0.97165991902834,244.0
8,0.9583333333333334,0.9787234042553191,0.968421052631579,94.0
9,0.9772727272727273,0.9555555555555556,0.9662921348314608,45.0
micro avg,0.9654471544715447,0.9654471544715447,0.9654471544715447,1476.0
macro avg,0.9725793346634989,0.9671964015447457,0.9693146726251465,1476.0
weighted avg,0.9671066673156656,0.9654471544715447,0.9654505422481758,1476.0
samples avg,0.9654471544715447,0.9654471544715447,0.9654471544715447,1476.0
